Sample File,D:\OlinCollege\All_data\OlinCollege\Austin Air NO PREFILTER\Low.S80,,,,,,,,,,,,,,,,,,,,,
Classifier Model,3080,,,,,,,,,,,,,,,,,,,,,
DMA Model,3085,,,,,,,,,,,,,,,,,,,,,
DMA Inner Radius(cm),0.00937,,,,,,,,,,,,,,,,,,,,,
DMA Outer Radius(cm),0.01905,,,,,,,,,,,,,,,,,,,,,
DMA Characteristic Length(cm),0.04987,,,,,,,,,,,,,,,,,,,,,
CPC Model,3775 Low Flow,,,,,,,,,,,,,,,,,,,,,
Gas Viscosity (kg/(m*s)),1.82E-05,,,,,,,,,,,,,,,,,,,,,
Mean Free Path (m),6.64E-08,,,,,,,,,,,,,,,,,,,,,
Channels/Decade,64,,,,,,,,,,,,,,,,,,,,,
Multiple Charge Correction,TRUE,,,,,,,,,,,,,,,,,,,,,
Nanoparticle Aggregate Mobility Analysis,FALSE,,,,,,,,,,,,,,,,,,,,,
Diffusion Correction,TRUE,,,,,,,,,,,,,,,,,,,,,
Gas Density,0.0012,,,,,,,,,,,,,,,,,,,,,
Units,dw/dlogDp,,,,,,,,,,,,,,,,,,,,,
Weight,Number,,,,,,,,,,,,,,,,,,,,,
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Date,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017
Start Time,10:05:00,10:10:04,10:15:03,10:20:04,10:25:04,10:30:04,10:35:04,10:40:04,10:45:04,10:50:04,10:55:04,11:00:04,11:05:04,11:10:04,11:15:04,11:20:04,11:25:04,11:30:04,11:35:04,11:40:04,11:45:04,11:50:04
Diameter Midpoint,,,,,,,,,,,,,,,,,,,,,,
7.1,0,0,649145,2.18E+06,1.96E+06,1.23E+06,853555,713081,382215,208701,108286,79576.1,28471.3,20994.9,7476.43,4485.86,1495.29,2990.57,0,5981.15,0,1495.29
7.37,6343.37,0,551303,2.37E+06,1.89E+06,1.27E+06,979056,669968,367651,203481,110909,64252.5,33026.7,14999.2,12952.9,6875.65,3806.02,5074.69,266.141,2537.35,1268.67,1268.67
7.64,0,2167.12,538313,2.44E+06,2.16E+06,1.22E+06,887268,591146,362552,186885,96216.8,74441.8,32279.4,22754.7,13858.9,8213.85,5417.79,5417.79,3023.37,2167.12,0,1083.56
7.91,0,1864.65,701335,3.26E+06,1.96E+06,1.01E+06,805172,592397,341428,186396,90070,66005.3,31230.7,24704.5,10255.6,6526.27,3729.3,6758.28,1864.65,932.325,1864.65,3729.3
8.2,0,807.767,629581,2.08E+06,1.79E+06,995355,733456,546947,314288,166836,85837.5,62207.6,36976.3,20821,11308.7,3436.83,4846.6,3030.05,3231.07,3231.07,807.767,807.767
8.51,705.135,1410.27,609871,1.74E+06,1.66E+06,941442,661987,510830,297533,169388,82144.4,55346.4,38061.3,23253.5,7756.49,4228.19,4935.95,3525.68,705.135,1587.27,0,705.135
8.82,1236.33,1236.33,579768,1.61E+06,1.67E+06,904216,646485,482697,258272,132180,82947,51129.7,33990.6,12973,11891.8,6026.49,4945.32,2619.36,2472.66,4171.99,618.166,0
9.14,544.171,8162.57,392733,1.56E+06,1.68E+06,904193,657164,436858,261759,146836,86341.7,47535.7,31664.9,18488.7,9665.95,7190.27,7190.27,3135.89,3809.2,544.171,1632.51,0
9.47,964.435,2893.31,251776,1.50E+06,1.55E+06,990035,624595,434751,225837,138555,71731,46863,19565.3,15104,15431,7130.43,7612.65,1532.67,1446.65,3375.52,0,482.218
9.82,1713.88,1713.88,223360,1.53E+06,1.46E+06,968109,581948,403187,239244,128970,70689.9,46079.9,25021.3,18680.1,9483.03,9596.38,4341.38,3351.34,1713.88,428.471,856.942,856.942
10.2,2300.56,1150.28,319440,1.38E+06,1.42E+06,929386,582469,399308,237570,133354,72826,48860.1,31488.8,14548.1,11480.7,7928.39,3783.56,2683.99,1533.71,1150.28,766.855,0
10.6,1031.8,2063.61,289594,1.43E+06,1.37E+06,896759,563840,373353,220625,126928,73794.6,50143.8,35591.4,21304.5,9263.73,10637.9,6190.82,1375.74,2753.03,1721.23,689.426,1031.8
10.9,2473.84,1212.77,369427,1.51E+06,1.30E+06,858058,556819,390452,235135,125848,88269.6,50278.1,31134.2,22447.4,11675.5,7395.96,4899.38,2783.07,1520.6,1544.75,2163.21,309.23
11.3,559.083,1139.99,964127,1.55E+06,1.18E+06,863313,609603,376610,253478,122069,86947.1,50049.9,36743.8,23675.8,11988.6,5053.57,4978.2,3913.58,1419.53,1677.25,838.625,279.542
11.8,1267.45,1449.11,332936,1.50E+06,1.11E+06,835960,599734,371001,238019,141454,89997.3,54664.4,35713.1,20746.9,14790.5,7532.85,5339.59,4309.32,1956.09,1013.96,760.467,1267.45
12.2,2764.03,2138.29,326432,1.29E+06,1.07E+06,770541,569441,350508,230209,147061,91827.1,58462.8,32875.1,23264.1,15611.9,7154.73,5593.33,4606.72,3196.2,1057.92,921.345,691.009
12.6,1051.65,841.322,724156,1.03E+06,991028,729241,563553,372697,232939,137124,83310.9,62558.2,30112,22416.1,12742.7,9186.3,6195.14,4837.6,3450.91,1768.26,1472.31,1147.21
13.1,2891.5,1542.14,368025,873931,908697,658270,522969,377336,239443,150192,85539.2,58285.1,35891.9,22375.6,16488.9,11459.3,5175.01,3142.16,3720.46,1927.67,963.835,1069.02
13.6,1766.61,1943.27,203713,897347,848716,653294,497167,366868,232805,144967,87158.8,62677.2,35475.1,24329.6,15079.7,11723.1,7720.04,2243.55,3149.84,2496.24,552.972,1589.95
14.1,2897.2,1943.73,121357,882604,769138,636080,466604,350026,231177,131085,84652.4,56622.4,37834.4,27558.6,13078,12106.1,7270.59,3707.09,3857.18,1922.65,2246.6,809.887
14.6,1952.8,2492.66,99753.2,738214,746018,589281,437275,329154,222861,136461,87806.2,64835.6,39117.3,24505,16632.9,12644.5,9249.61,4406.58,3355.72,2084.8,1450.26,1003.52
15.1,2477.21,1962.65,99956.3,621275,645665,527168,429998,332197,215160,138120,92151.3,61406.3,37445.7,24973.5,14088.6,12123,8679.23,5234.98,5168.41,2890.08,1274.54,1274.54
15.7,2587.81,4212,89474.1,475178,580042,485789,405671,325754,216770,135515,90075.6,66476.8,39176.4,26209.4,19475.3,12648.7,7522.2,7116.82,3221.82,2622.9,2552.73,1659.27
16.3,1750.61,8544.03,97833.9,411496,493494,429657,368512,306395,195385,135565,92032.9,55786.8,39240.5,22179.8,16887.6,11023.5,10434.4,5896.73,2577.22,2663.19,1778.31,1305.72
16.8,2421.68,13968.8,92420.3,366192,426900,403323,332759,280990,189395,120375,80370.2,54540.7,37862.9,25910.2,19641.4,11783.3,8380.01,5512.65,3637.83,2314.43,1213.12,1321.88
17.5,1793.11,11462.2,78571.1,294248,394366,357712,322638,265080,176333,110272,76357.5,56813.3,35514.7,24921.6,18322.1,13146.9,9141.78,5761.32,3586.22,3497.95,2513.27,1234.57
18.1,2083.09,20911.1,77163.6,262701,364190,313564,291836,239744,165009,109096,72128.5,58094.8,35417.9,23876.5,15197.2,10917.3,9472.01,7718.47,4070.08,2787.11,2371.41,1249.39
18.8,2331.06,25526.5,70819.5,246799,311633,264599,257043,221745,155625,101279,69296.7,47381.2,33831.1,26180.5,16011.1,12890.1,8109.96,4900.79,3897.92,2970.5,2061.02,1710.29
19.5,2947.11,29919.4,61354.7,202908,259298,234522,230843,192179,135597,91181.2,64596.5,42587.3,31107.7,21157.5,16280.5,12157.5,7916.84,4949.05,4093.29,2480.33,1688.31,1181.82
20.2,2383.64,30043.2,72929.5,167044,219925,220391,199673,184712,125796,85935.9,61257.4,44022.6,29896.4,20734.6,15598.3,12004.8,8372.41,5988.77,3487.58,2584.14,1979.12,1346.25
20.9,1563.76,38292.8,68580,139665,189565,201495,177745,166331,115761,78185.6,56579.6,39041,29218.2,20175.9,15018.5,8927.07,8623.51,4952.72,3524.35,2338.16,1556.86,1111.69
21.7,2022.04,52829,68231.7,116209,163071,169740,154792,143163,101065,71075.7,52056.3,38586.1,23224.2,16373.1,13137,8868.83,5862.06,4507.01,3253.05,2814.81,1422.53,1114.99
22.5,2232.56,60521.2,65430.3,101748,139781,146309,130754,119900,87378.3,65603.4,44655.7,31438.9,22092.2,17428.6,11131.6,7434.5,5291.16,4192.13,2228.74,2882.38,1539.96,1369.59
23.3,2259.17,67338.5,73790,84237,123984,122653,112784,104873,73874.6,53740.1,42583.3,29567.7,21597.2,16085.6,11095.4,6250.89,6143.91,3814.86,2897.94,1974.78,1792.03,1042.98
24.1,2299.96,91357.2,74499.8,75408.1,104214,107171,92309,91537.9,64837.2,51337.6,34900.7,27399.8,19920.7,11928.4,9501.73,5854.6,4361.15,2428.87,2769.29,1691.04,1718.67,899.108
25,3059.45,94754.1,69948.1,69475.2,82947.8,90278.2,85450.4,83535.1,63474.2,43083.6,33165.6,24547.9,17338.8,11949.6,9419.87,7159.99,4973.57,3235.69,2319.55,1862.42,1008.04,1011.43
25.9,3986.78,85643.2,74267.4,66796.9,69162.4,77252.1,74499.3,67703.7,52882.3,41243.6,27185.4,21477.9,14463.8,10838.5,7494.65,5868.52,3966.67,3107.3,1895.06,1667.23,1355.34,724.463
26.9,3390.94,75050.3,68705.5,59946.7,57351,62705.5,63941.5,58780.7,46592.7,33365.2,25728.4,19442.5,12637.9,9451.14,6516.16,5718.41,4006.22,3134.57,1704.97,1559.32,1222.19,595.601
27.9,2795.29,65221.1,74104.5,57679.9,54996.9,52043.1,52241.4,52122.4,39953.5,29979.4,21514.5,17126.9,11798.5,8975.27,5997.18,4764.96,2812.51,1851.72,1411.21,1419.95,1373.99,455.296
28.9,3569.86,76365.1,81086.6,52485.6,50363.5,48352.2,44707.7,44959.2,34123.3,25606.7,19845,15241.5,11109.1,7531.74,5482.26,3642.43,2951.31,2423.55,1367.13,1527.23,951.983,572.307
30,3328.75,85216.6,80247,51425.9,44507.2,40261.6,39262.8,37256.9,31230.8,24185.6,17796.9,12931.7,9345.76,6596.47,5644.21,3262.57,2666.57,1572.26,1490.95,1117.84,779.392,545.971
31.1,3892.69,111458,74227.8,51527.8,42436,36784.7,34215.9,34161.3,29133.3,20741.6,15071.3,12095.9,8053.95,5312.75,3832.14,2961.57,2257.05,1578.37,977.003,1603.53,796.021,544.384
32.2,3267.04,123685,74142.2,52844.3,37787.8,34845.1,32353.2,32065.4,24956.5,18343.2,13572,9850.07,7239.35,5037.5,3788.72,2398.55,1972.33,1378.47,1121.61,814.433,653.993,748.328
33.4,3198.69,148951,74390.5,48265.4,38401.1,33024.1,30318.5,33105.6,23405.8,15822,11584.8,9577.23,6561.29,5141.69,3865.56,2875.74,1630.03,1547.48,756.357,727.043,537.811,697.483
34.6,3523.81,171657,74885.8,46691.4,36113.3,28898.4,31143.1,31896.4,21651.1,15476.1,10501.1,8271.33,6556.86,4360.64,2925.53,1673.1,1821.06,1402.77,758.003,681.227,544.665,566.614
35.9,4380.35,163431,72631.4,47885.4,37136.4,30249.7,27667.9,27251.1,20281.7,14355.6,10990.6,7985.57,6214.58,3919.66,3699.75,2284.35,1899.65,1290.31,1096.35,707.197,624.243,454.788
37.2,3433.59,155355,77533.7,42150.7,33155.6,30018.1,25497,27199.1,17441.8,13983.3,10608.8,7099.06,5533.2,3458.73,2965.2,2260.84,1588.34,994.864,954.196,744.073,576.003,540.892
38.5,4359.32,124990,78279.7,41459.7,33423.2,28440.2,25550.5,27687.1,17844.2,13385.1,9875.52,6803.04,4959.32,3209.01,2859.81,1782.12,1692.25,760.598,684.597,784.657,734.433,209.345
40,3893.41,112570,72073.6,40956.7,31388.9,28368.2,24790.6,25568.2,16665.2,13137.2,9974.44,7265.97,4915.45,3504.35,2899.88,1940.63,1564.3,1256.19,848.078,860.606,437.237,596.351
41.4,3325.57,122755,69180.8,41620.6,28636.4,28014.8,23972.9,24712.1,16284.2,12322.9,8909.79,6577.45,5265.99,3253.02,2317.15,1755.02,1506.43,1388.31,969.681,521.829,449.486,490.138
42.9,3026.94,132589,65502.7,38291.1,29692,25597.7,22954.8,23006.1,16582,11141.2,9237.59,5694.7,4982,3758.13,2613.66,1777.62,1459.24,1498.44,878.916,528.355,575.176,324.593
44.5,3107.64,118977,61384.5,37295.6,25582.7,24343.1,22810,22305.2,15798.6,10850.5,8657.42,6632.76,4605.5,3400.68,1906.61,1854.19,1139.09,1043.61,623.502,875.588,463.456,394.151
46.1,3268.56,102742,62395.9,34630.8,26727.7,24738,22197.8,21274.9,15065.6,11085,8167.85,6209.11,4340.36,3139.83,2018.89,1969.76,1149.11,963.793,676.186,840.802,505.554,380.271
47.8,2806.79,81138.3,57944.4,32660,25797,22458.8,21020.1,22029.9,15037.7,10266.6,7667.12,5345.14,3628.96,3200.46,2128.09,1294.72,1468.5,684.315,674.674,445.459,528.608,325.622
49.6,2199.5,68117.3,52618.7,32376.1,22945.4,21876.5,20667.3,20499.1,13817.8,10569.1,8049.31,6247.6,3563.57,2369.25,1888.51,1397.54,1189.06,771.293,665.434,874.098,617.483,483.97
51.4,2119.4,48253.6,51548.8,28708.7,22203.4,20265.7,17925.8,19761,12993,10465.6,6817.74,5129.62,3967.62,2639.62,1687,1503.53,1298.08,1038.7,793.538,410.543,632.46,274.812
53.3,1962.61,50196.5,48675.5,26883,21476.6,19862,17783,18627.9,13660.4,9774.32,6725.45,5448.08,3598.78,2493.33,1718.05,1371.25,1120.3,1265.08,692.812,506.277,327.42,439.541
55.2,1664.02,79466.5,43684.6,25892,19455.6,18454.5,17603.7,19311.2,11797.1,9880.65,6819.5,5225.93,3865.57,3339.4,1697.94,1430.74,1139.59,922.573,791.159,475.506,517.095,315.575
57.3,1382.61,83872.5,43864.3,23132.8,20727.9,19245.7,16341,17462,11632.7,8979.29,5465.77,4222.52,2942.14,2202.05,1981.73,1270.28,713.597,847.749,566.265,453.822,376.96,147.531
59.4,1131.81,60913.6,41965.2,21523,19522.6,17028,15649.3,18554.5,12110.6,8340.97,5918.09,4782.24,2875.97,1965.08,1760.42,1053.3,1007.48,1011.56,596.649,508.631,195.991,243.083
61.5,1246.16,58674.9,38919.1,19690.4,17735.2,16349.5,14785.6,17344.1,11878.6,7895.94,6589.99,3990.32,2957.97,2116.02,1646.32,1074.51,655.092,752.287,450.216,534.595,332.521,217.617
63.8,1348.03,50829.5,36692.3,20715.2,16650.8,16261.5,14735.9,16185.1,11118.6,7357.54,6444.79,4310.07,2483.34,2031.1,1610.38,1408.5,834.739,642.93,465.616,520.99,539.918,255.668
66.1,829.239,42099.2,32442,18495.7,15692.7,14339,13677.5,15851.5,10494.9,7458.13,5709.33,3162.42,2847.29,2107.98,1585.03,1504.96,880.422,509.47,423.135,360.911,249.258,182.723
68.5,1035.34,35686.4,28922.7,16382.4,14462.7,15288.6,14119.7,15158.4,9419.2,6485.09,4839.94,3938.91,3464.54,2188.48,1456.12,1053.48,695.519,531.408,433.76,336.683,294.657,146.655
71,837.782,35427.7,23836.7,15018.6,13481.8,13257.8,12382.6,12579.2,8778.3,6114.98,4614.6,3568.9,2858.4,1679.41,1089.25,1105.37,703.279,393.999,463.197,320.541,152.049,167.909
73.7,730.796,28150.2,19844.5,13347.5,13203.5,13143.7,10376.5,11834.4,7673.97,6085.34,4801.72,3260.61,1861.07,1912.35,1101.14,919.061,719.707,417.001,370.282,297.599,342.297,172.602
76.4,620.95,29280.8,18365.7,13532.5,12567.4,11405.3,11192.4,11081.3,8063.08,5837.7,4359.06,2755.43,2257.51,1596.28,1119.47,591.182,726.747,376.862,442.972,203.384,140.219,139.846
79.1,831.578,29653,15924.8,11940.6,12084.5,12065.8,9398.33,11487.6,8478.79,5685.82,4747.92,2898.11,1991.71,1368.17,1073.67,758.023,666.09,243.296,495.599,254.658,157.777,69.1529
82,671.551,27844.2,14894.6,13314.9,11687.9,11374.7,10098,11313.3,7569.69,5879.02,4466.15,2969.75,2165.68,1590.19,1394.12,821.778,878.913,452.772,394.172,202.805,162.595,338.576
85.1,589.15,21053.4,15284.3,12346.5,12435.7,11498.8,9890.28,11999.8,8461.88,5372.9,4700.75,2993.24,1627.24,1476.49,914.302,938.23,556.954,588.931,290.693,149.925,266.406,171.166
88.2,541.719,21809.3,14512.2,13019,12419.8,12444.9,11378.9,10943.5,7934.02,5740.74,4253.44,2787.06,2376.84,1382.53,1138.32,695.886,647.875,389.237,285.787,159.174,131.101,123
91.4,583.261,23915,13537,12859.7,13035.4,11053.7,10238.6,11095.7,7728.42,5712.35,3723.83,3021.31,2192.67,1472.95,899.435,850.178,743.358,578.874,246.016,507.774,247.804,111.986
94.7,637.142,19997.2,14837.1,12397.7,12648.5,11481.9,10896.7,10952.3,8204.88,5746.16,3430.07,2671.35,2150.39,1585.98,1149.14,785.643,451.581,511.212,379.791,158.004,257.024,94.4728
98.2,576.182,19141.2,14360.4,13630.9,12112.8,11833.5,10314,11201.2,7821.25,5292.53,4902.79,2827.04,2106.62,1725.47,1175.91,801.453,669.514,454.712,374.345,134.067,310.118,269.555
101.8,519.857,18055.4,12849.4,13857.9,13064.8,11353.8,10392.5,11756.2,8655.51,5975.75,5244.36,3074.56,2144.93,1395.9,1162.8,942.028,691.447,440.874,489.493,170.459,259.956,168.767
105.5,644.413,19357.1,18364,16019.9,16564.6,14565.4,14339.5,13380.4,10792.1,8102.35,5329.75,3367.07,2598.1,1983.58,1536.12,1131.89,519.618,688.891,489.211,341.925,214.387,232.858
109.4,634.957,17351.2,20926.5,19534.2,17345.9,17632.9,15397.1,14843.6,11091.6,8069.65,5749.96,4271.17,2902.48,1932.01,1689.58,1272.68,1102.46,488.868,361.894,318.819,311.637,151.019
113.4,417.772,13844.8,19508.6,18840.9,17443.3,17390.2,15455.2,14348.1,9700.83,7794.52,5864.88,4041.36,3335.02,2411.37,1623.06,1396.61,832.776,778.384,494.201,379.306,233.889,300.899
117.6,435.105,12382.8,18759.3,18987.6,18539.4,17682.1,15903.7,14208.8,10591.1,8039.82,5699.19,3804.42,3337.71,2297.42,1512.6,1242.19,805.529,793.157,345.516,353.299,239.348,232.11
121.9,599.434,13369.1,19273.7,17729.8,18007.8,17188.3,16170.8,15350.6,10807.2,7925.59,5374.91,4516.92,3440.83,2143.01,1795.12,1281.47,1118.27,754.797,542.969,298.863,232.777,315.385
126.3,516.695,14161.9,19030.7,19397,17216.6,16903.9,15592,15470,10187.9,7643.16,6020.35,4573.98,3216.11,2159.82,1841.21,1210.66,908.027,710.433,621.302,407.736,245.522,179.657
131,467.763,15084.6,19481.7,18896.9,17852.6,17648.6,15740.4,16419.3,10101,7332.59,5634.97,4322.71,3322.84,2071.88,1343.42,1267.9,800.137,553.408,409.799,461.744,246.198,229.785
135.8,458.677,14912.1,19809.8,18281.2,17111.3,16718,14878.3,15270.9,9869.49,7563.91,5703.32,4306.73,2860.53,2251.86,1862.21,1368.02,837.798,694.115,513.864,265.113,267.899,179.987
140.7,409.731,13812.3,18873.8,16934.3,16426.7,17449.7,15295.2,15315.1,9974.48,7639.4,6193.99,4377.98,2909.78,2489.28,1916.24,1128.97,716.234,538.373,469.178,357.509,489.205,229.45
145.9,365.526,14565.4,18363.8,18764.9,17728.2,16424.8,15333.4,15537.1,9562.53,7690.15,5583.88,4544.12,3328.76,2047.89,1903.68,1279.11,809.224,705.228,559.666,395.482,439.652,99.9509
151.2,368.692,13394.3,18527.7,16472,16282.7,16995.3,14737.5,14136,9536.28,7519.02,5664.05,3808.26,2942.63,2291.42,1731.13,969.482,783.041,683.264,600.79,318.863,261.972,162.296
156.8,407.182,12771.4,18282.7,17113,15682.9,16285.6,13935.8,13688,9681.53,6711.49,5117.92,4341.6,2548.09,2309.59,1308.5,1045.69,835.076,592.165,341.558,405.85,311.718,190.312
Scan Up Time(s),240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
Retrace Time(s),60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Down Scan First,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Scans Per Sample,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Impactor Type(cm),0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071
Sheath Flow(lpm),3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Aerosol Flow(lpm),0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
CPC Inlet Flow(lpm),0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
CPC Sample Flow(lpm),0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Low Voltage,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554
High Voltage,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87
Lower Size(nm),6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831
Upper Size(nm),159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634
Density(g/cc),1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
Title,,,,,,,,,,,,,,,,,,,,,,
Status Flag,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan
td(s),2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93
tf(s),0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657
D50(nm),1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41
Median(nm),28.8754,37.7379,11.2083,9.75661,9.96056,10.6595,11.0733,11.4143,11.9922,12.7483,13.5941,13.9374,14.7627,15.1981,16.1916,16.6029,16.9092,17.2794,17.838,17.4575,19.5649,18.2598
Mean(nm),34.6609,45.2414,18.2069,12.2659,12.5587,13.7938,14.5754,15.8346,16.5743,17.8469,19.2661,19.7253,21.1288,21.9151,23.3049,24.1917,24.4644,25.3909,26.8941,25.4606,29.9492,27.6669
Geo. Mean(nm),27.5362,40.0543,13.4538,10.7002,10.969,11.7244,12.1652,12.7759,13.2934,14.0512,14.9742,15.2575,16.2189,16.7282,17.7122,18.3927,18.6438,18.8657,20.0831,18.7269,22.3205,20.1155
Mode(nm),7.36525,34.5989,11.3419,7.91476,7.63506,7.36525,7.36525,7.10497,7.10497,7.10497,7.36525,7.10497,16.2531,14.0746,16.8485,17.4658,16.2531,18.1056,15.1247,7.10497,15.6788,7.91476
Geo. Std. Dev.,1.96631,1.60938,1.936,1.51853,1.52289,1.59127,1.63983,1.72292,1.74511,1.79553,1.83418,1.85046,1.87608,1.89397,1.91285,1.91639,1.91836,1.99655,1.98124,2.0411,2.01693,2.08999
Total Concentration(#/cm?),2453.39,57422.7,195733,600252,550527,376441,282418,212396,132682,80204.8,50108.8,34433.7,21412.6,14236.7,9343.55,6354.39,4572,3135.24,2092.64,1733.86,1085.3,854.149
Comment,,,,,,,,,,,,,,,,,,,,,,
