Sample File,D:\OlinCollege\All_data\OlinCollege\Holmes (Xi Xi)\Medium2.S80,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.9,5010.63,5309.47,5733.96,4888.42,4817.7,4177.45,4358.16,4749.49,4537.54,4279.35,6175.43,5837.89,4926.33,4128.03,4207.92,3726.64,2960.46,2656.57,2634.25,1953.5,2021.95,1650.71,2079.21,1535.69,1318.48,1428.94,1074.89,1182.3
44.5,5008.44,4207.59,4577.92,4855.95,4627.65,4844,4319.63,4865.61,4431.16,4253.16,5356.13,5532.03,4411.19,4246.45,4061.23,2956.2,3284.35,2448.9,2081.05,2433.78,2338.88,1796.02,1620.77,1008.31,1664.97,1139.02,1350.75,987.417
46.1,4139.49,4109.68,4370.54,4583.57,3632.18,4428.37,4192.83,4326.75,3860.29,4095.86,5626.13,5525.06,4453.96,4669.37,3706.15,2745.01,2715.93,2250.02,2395.78,1865.93,1927.01,1211.68,1570.29,1499.23,1428.31,1157.15,1305.82,1114.4
47.8,4274.11,4355.09,3918.06,4353.56,4193.76,3999.18,4082.31,3511.49,4046.59,4247.61,5882.42,4671.74,4225.08,4072.26,3748.42,3195.88,2284.5,2340.42,2281.32,1611.81,1726.74,1490.07,1096.08,1238.42,1323.3,1058.46,727.302,1289.46
49.6,4517.67,4548.85,4144.96,3937.14,4655.47,3461.34,3651.46,3787.94,3570.49,3852.78,5635.62,5132.31,4719.23,4191.04,3519.44,2773.51,2617.37,2151.78,2207.89,1797.99,1745.95,1714.47,1333.97,1354.29,1033.2,1091.75,1035.87,1080.19
51.4,4374.3,4751.34,3751.9,4500.87,3663.1,3750.28,3983.98,4587.98,3903.32,3663.96,4451.95,5218.84,4479.47,3594.74,3512.59,3193.06,2643.58,2219.58,2152.06,1368.94,1634.4,1605.38,1260.99,1145.62,1104.06,1165.58,1064.86,978.472
53.3,4451.21,3674.94,4140.76,4355.32,4261.82,4059.41,3534.43,4084.47,3735.9,3750.3,4868.82,4200.1,4306.93,3108.52,3084.9,2433.76,2055.36,2055.46,2191.8,1481.97,1443.88,1060.87,1466.32,1456.31,1162.91,1184.66,1073.53,1073.82
55.2,3464.51,3997.88,4348.4,3881.55,3285.54,3723.86,3628.89,3295.95,3272.33,3672.1,4076.65,4797.57,3836.85,3496.42,3109.37,2225.94,2076.46,1706.02,1896.28,1625.49,1294.23,1353.82,1149.87,1188.51,1074.56,983.662,1268.35,1127.91
57.3,3479.27,3571.33,3445.72,3842.56,3525.14,3271.85,3633.4,3718.73,2840.65,3369.9,4128.97,4552.05,3733.77,3537.41,2945.57,2552.01,1866.95,2114.38,1844.3,1286.79,1532.43,1578.24,1377.25,1141.68,821.616,925.467,876.741,902.258
59.4,3886.26,2957.35,3441.07,3092.03,3479.77,3390.5,3072.32,2996.69,3756.07,3373.62,4530.25,4066.31,3228.85,3239.38,2868.35,1852.57,2093.09,1756.19,1411.5,1636.42,1040.94,1067.27,1209.82,1135.29,1133.66,789.012,963.008,904.166
61.5,3336.94,3577.33,3367.55,3140.21,3496.83,3556.57,3112.13,2620.42,2753.21,3210.88,4816.66,3169.84,3741.15,2799.45,2513.05,2348.49,2202.48,2293.94,1648.27,1053.82,1089.56,909.06,1173.18,730.659,1008.35,1054.17,925.397,732.084
63.8,3340.66,2809.91,3587.7,2819.1,3197.32,3270.49,3530.02,3046.9,2706.38,3480.72,4490.89,3924.38,2972.08,3246.55,2318.96,2186.92,2033.25,1475.24,1914.4,1290.83,1138.86,1167.1,1068.26,1002.37,1110.69,903.869,705.909,1025.37
66.1,3127.34,3486.7,3125.09,3320.63,3190.35,2689.42,2758.65,2733.62,3127.25,2753.32,4605.41,3986.78,2951.3,2789.63,2697.08,2064.17,1703.78,1793.24,1363.02,1607.64,942.547,1190.78,990.631,1153.84,820.146,649.379,725.131,840.933
68.5,3137.98,2876.06,3075.79,3152.57,2644.03,2853.8,3174.27,2942.13,2866.35,3068.36,4675.52,3568.1,3153.08,2242.13,2159.81,2273.85,2032.17,1802.3,1524.17,1282.53,1283.37,1283.26,1390.64,930.82,837.902,480.146,761.271,723.047
71,2489.73,2938.91,2768.06,3124.6,2863.29,2587.79,2420.37,2743.73,3017.57,2741.43,3976.89,3483.96,2979.07,2422.48,2181.76,1831.38,1636.26,1582.22,1556.36,1294.49,964.646,923.259,847.119,726.073,1023.22,781.102,703.583,620.435
73.7,2674.28,2439.6,3202,2907.23,2188.17,2302.78,2731.1,2022.29,2223.79,2270.39,3714.23,3206.47,2646.68,1712.16,1917.59,1886.66,1702.37,1544.94,1427.56,1147.39,984.976,778.215,1046.97,948.92,704.026,661.9,539.754,561.124
76.4,2932.74,2674.64,2242.18,2346.76,2778.95,2344.18,2414.86,2771.67,2534.42,2283.79,3455.79,3188.1,2518.44,1540.05,1667.68,1869.42,1629.91,1357.53,1255.84,1014.98,1013.77,906.572,1053.9,686.159,692.996,710.888,597.138,472.477
79.1,2718.33,2839.38,2587.01,2560.8,2082.67,2657.58,1958.14,2070.4,2395.39,2476.17,3739.33,2976.96,2799.39,1912.5,1868.1,1869.8,1721.76,1348.19,1116.9,1155.63,889.935,1147.19,825.884,614.356,605.624,652.725,715.753,609.101
82,2513.79,2370.38,2211.26,2345.77,2337.35,2318.81,2063.21,2014.88,1959.95,1895.34,3495.6,3035.95,2569.7,1933.93,1500.7,1935.74,1181.3,1371.68,1087.98,1132.6,1048.38,1038.63,781.387,784.786,1019.03,534.543,488.156,657.394
85.1,2400.31,2823.37,2611.76,1951.11,2369.48,2431.92,2127.55,2006.9,2096.34,2377.6,3377.84,2939.12,2024.92,2048.62,1981.02,1806.08,1483.66,1158.05,1145.59,1082.32,996.083,1033.34,710.425,729.201,806.927,682.531,541.208,618.809
88.2,2268.33,2372.95,2485.69,2317.77,2401.84,2658.28,2219.14,1878.29,2440.21,2296.37,3087.14,2707.77,2055.06,1797.87,1689.93,1598.57,1531,1233.58,1165.84,982.883,784.295,685.917,791.63,635.624,844.96,598.214,433.883,624.822
91.4,2191.55,2586.94,2585.03,2452.1,2082.04,2317.26,1894.65,2077.5,2149.01,2131.58,3039.9,2628.65,2283.7,2203.13,1503.9,1880.39,1444.21,1559.09,1072.26,1026.87,1015,817.918,648.508,816.609,570.789,492.165,731.526,648.629
94.7,1912.4,2686.25,2110.98,2066.2,2524.34,1926.56,1844.34,2432.12,1787.24,1727.98,2400.8,2450.38,2270.29,1904.12,1639.5,1872.02,1785.94,1392.4,722.086,875.85,912.088,1052.27,602.014,753.791,624.479,757.728,643.095,410.929
98.2,2067.19,1947.35,1823.44,1772.35,2397.13,2132.45,1751.46,1905.27,2076.28,1737.24,2459.53,2699.86,2384.68,1970.33,1542.03,1552.06,1293.38,982.964,1200.4,848.173,745.346,732.563,739.927,568.56,616.625,646.762,544.869,528.2
101.8,2247.68,2067.25,2461.44,2260.6,2593.8,1878.57,1755.11,2049.74,1910.61,1822.22,2347.01,1921.26,2144.7,1756.71,1599.23,1588.41,1489.84,1168.62,1235.86,1208.98,732.976,705.533,460.861,599.543,529.68,660.481,571.464,418.421
105.5,2413.74,2347.16,2284.69,2570.51,2554.54,2518.83,2935.48,2256.69,1794.79,2201.83,3075.64,3315.66,2339.07,2345.71,2016.21,1678.54,1518.01,1522.45,866.027,1079.3,888.691,844.947,801.733,910.412,949.675,530.039,839.186,681.554
109.4,3137.65,2972.12,2394.5,2487.74,2562.3,2411.45,2564.55,2444.84,2475.72,2461.45,3777.64,3396.19,2900.07,2584,2054.06,1917.66,1641.84,1493.15,1186.44,1222.5,925.23,788.657,750.249,742.901,599.23,642.388,757.347,850.929
113.4,3172.6,2599.92,3002.96,2689.94,2580.8,2788.41,2861.92,2114.85,2465.76,2454.65,3194.28,2525.69,2541.4,2769.14,1978.71,1773.65,1537.64,1427.78,1239.01,1234.34,1019.57,1105.42,854.382,971.542,844.963,632.68,744.951,661.08
117.6,2813.56,2546.66,2632.35,2602.62,2758.69,2647.29,2798.38,2219.97,2565.18,2010.99,3466.3,3051.58,2830.52,2259.51,2043.68,1681.04,1904.82,1354.2,1308.51,1165.14,1025.27,807.087,798.291,652.031,784.361,716.953,710.26,764.587
121.9,2967.15,2376.55,3051.39,2523.54,2420.46,2726.33,2445.59,2084,2346.69,2251.76,3758.94,3281.7,2744.23,2414.26,1884.4,1573.44,1741.84,1411.94,1134.26,1352.52,888.445,962.907,868.971,651.416,795.985,818.642,508.45,700.039
126.3,2669.71,2394.76,2656.25,2960.85,2799.06,2351.03,2729.89,2502.11,2146.35,2609.18,3277.07,3237.76,2683.79,1983.04,1851.37,1910.44,1593.72,1676.55,1141.92,911.389,904.108,947.264,806.844,819.811,784.988,778.189,770.969,626.63
131,2428.06,2530.12,3036.23,2440.9,2448.59,2315.9,2243.17,2329.85,2204.33,2457.58,3452.5,3071.49,2612.19,2267.17,1892.4,1631.77,1455.87,1195.7,1204.45,1137.73,1212.91,793.852,705.502,914.498,740.237,613.042,671.879,750.897
135.8,2598.47,2778.72,2737.11,2680.01,2582.95,2279.05,2517.24,2277.05,2497.56,2630.66,3417.17,3269.85,2667.23,2417.69,2020.61,1791.46,1534.96,1607.62,1001.16,1034.94,945.122,686.374,964.535,826.953,683.853,618.139,459.206,650.599
140.7,2764.12,2263.32,2691.33,2694.92,2389.69,2754.95,2333.24,2377.41,2054.04,2015.69,3227.34,3625.43,2240.24,2312.49,1714.62,1583.65,1411.81,1277.11,1306.25,1342.66,1047.61,953.49,749.544,896.995,637.874,810.88,522.618,503.122
145.9,2643.68,2572.15,2725.77,2253.28,2180.32,2071.91,2718.76,2387.51,2099.94,2527.58,3503.51,2692.48,2445.89,2176.67,1977.05,1811.79,1583.77,1183.2,1243.3,1053.3,897.841,1034,932.118,554.581,793.568,785.879,595.785,667.306
151.2,2783.83,2412.98,2619.6,2166.77,2295.71,2438.66,2403.04,2455.03,2421.56,2247.91,3438.02,2902.11,2556.86,1861.31,2191.02,1649.99,1440.72,1247.12,1378.09,1042.04,1244.24,933.881,909.717,785.915,700.466,506.133,510.323,522.507
156.8,2440.02,2956.2,2773.58,2228.17,2459.91,2144.81,2407.31,2597.62,2425.05,2414.9,3457.92,2903.49,2725.28,2184.8,2013.97,1633.65,1664.52,1475.84,1019.13,1082.71,862.251,839.591,776.014,928.592,746.791,738.28,786.783,546.327
Scan Up Time(s),240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
Retrace Time(s),60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Down Scan First,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Scans Per Sample,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Impactor Type(cm),0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071
Sheath Flow(lpm),3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Aerosol Flow(lpm),0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
CPC Inlet Flow(lpm),0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
CPC Sample Flow(lpm),0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Low Voltage,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554
High Voltage,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87
Lower Size(nm),6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831
Upper Size(nm),159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634
Density(g/cc),1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
Title,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Status Flag,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan
td(s),2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93
tf(s),0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657
D50(nm),1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41
Median(nm),8.89104,8.91351,8.91166,8.84715,8.86747,8.82042,8.95243,8.90888,8.92167,8.7797,9.19797,8.90241,8.83004,8.89249,8.83486,8.85175,8.69791,8.80322,8.9825,8.65977,8.73801,8.75536,8.92262,8.78592,8.86706,8.6933,8.80449,8.9732
Mean(nm),14.0084,14.0687,14.0779,13.9131,13.9946,13.9255,14.0538,14.1036,13.9721,13.9748,16.3925,13.8108,13.7589,13.8348,13.7261,13.767,13.5747,13.7999,13.9274,13.3197,13.5713,13.5103,13.8721,13.8041,14.1233,13.6434,13.8407,14.0252
Geo. Mean(nm),10.9145,10.976,10.939,10.8691,10.9011,10.8581,10.933,10.9957,10.9322,10.8722,12.1551,10.8489,10.8159,10.8636,10.7985,10.8289,10.6933,10.8006,10.9533,10.5476,10.7228,10.6869,10.8784,10.7983,10.9908,10.7111,10.8205,10.9642
Mode(nm),7.10497,7.10497,7.10497,7.10497,7.10497,7.10497,7.10497,7.10497,7.10497,7.10497,7.10497,7.10497,7.10497,7.10497,7.10497,7.10497,7.10497,7.10497,7.10497,7.10497,7.10497,7.36525,7.10497,7.10497,7.36525,7.10497,7.10497,7.36525
Geo. Std. Dev.,1.74962,1.75305,1.75536,1.7479,1.7521,1.74909,1.75242,1.75288,1.7443,1.75372,1.90962,1.73349,1.73361,1.73624,1.73163,1.73238,1.72458,1.73904,1.73599,1.71005,1.72236,1.71663,1.74084,1.74091,1.75487,1.73369,1.74443,1.74376
Total Concentration(#/cm?),40962,40607.1,40560.1,40136.2,39002.7,38413.9,37280.7,36427.1,36866.5,36500.8,39391.5,50063.1,43228.9,36562.3,32769.4,29381.3,26923.5,22516.9,19999,19829.5,17131.1,15886.1,13620.1,12712.8,11427.4,11409.8,10368.7,9952.5
Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
