Sample File,D:\OlinCollege\All_data\OlinCollege\Sham!\Low1.S80,,,,,,,,,,,,,,,,,,,,,,,,,,
Classifier Model,3080,,,,,,,,,,,,,,,,,,,,,,,,,,
DMA Model,3085,,,,,,,,,,,,,,,,,,,,,,,,,,
DMA Inner Radius(cm),0.00937,,,,,,,,,,,,,,,,,,,,,,,,,,
DMA Outer Radius(cm),0.01905,,,,,,,,,,,,,,,,,,,,,,,,,,
DMA Characteristic Length(cm),0.04987,,,,,,,,,,,,,,,,,,,,,,,,,,
CPC Model,3775 Low Flow,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas Viscosity (kg/(m*s)),1.82E-05,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean Free Path (m),6.64E-08,,,,,,,,,,,,,,,,,,,,,,,,,,
Channels/Decade,64,,,,,,,,,,,,,,,,,,,,,,,,,,
Multiple Charge Correction,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Nanoparticle Aggregate Mobility Analysis,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Diffusion Correction,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas Density,0.0012,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,dw/dlogDp,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight,Number,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Date,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017
Start Time,11:57:00,12:02:04,12:07:03,12:12:03,12:17:04,12:22:03,12:27:04,12:32:03,12:37:03,12:42:03,12:47:04,12:52:04,12:57:04,13:02:04,13:07:04,13:12:04,13:17:04,13:22:04,13:27:04,13:32:04,13:37:04,13:42:04,13:47:04,13:52:04,13:57:04,14:02:04,14:07:04
Diameter Midpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.1,62658.7,64623.3,65384.2,64297.3,65853.5,61306.8,53687,82036.6,58172.8,51491.6,70339.3,37769,78080.9,103766,80602.1,77672.4,71834.6,83531.8,75707.9,55121.4,65384.2,54978.1,61571.8,48114.3,47910,55386.5,45653.8
7.37,64477.4,50563.3,66237.1,46204.5,54594.2,37323.8,62472.4,60426.1,45979.6,48844.8,52589.1,59485.2,62247.5,60017.5,58932.5,69593.4,72355.6,63433.7,58666.3,72580.5,45468.1,53059.4,53059.4,58666.3,53325.5,58134.1,47534.9
7.64,50350.2,39287.3,47702.5,39890.3,54710.4,42564,34472.5,41830.1,43394.3,33616.3,38326.2,34725.8,64235.1,59193,65668.4,49869.6,52543.3,50350.2,49642.3,45535.4,40519.2,38431.1,46016,45561.4,42031.4,38177.8,30592.9
7.91,30562.9,45480.1,49427.3,31012.8,45030.1,41764.8,32645.4,38007.4,38717.5,29148.2,34960,42446.8,58078.4,55735.6,50359.6,44533.7,51788.4,47112.7,46862.3,36374.7,41968.7,43847.4,47340.4,46644.4,37284.4,40104,38239.4
8.2,32124.9,27468.8,28878.6,25446.5,42811.7,27267.8,29084.4,25848.5,37366.8,32114.4,19601.7,28481.3,59176.5,44637.7,46664.8,42621.2,57356.2,44838.7,37563,33740.5,30303.7,39590.1,39589,27267.8,38384,41406.6,33329
8.51,32953.9,30849.2,27854.3,30674.8,20625.9,39310.8,23443.8,26972.1,26792.5,24326,30136,30846.3,44069.8,50587.5,43707.9,28020.5,35608.1,37543.9,23095.3,25725.5,31546.2,34018.2,32433.6,29613.1,26261.8,34897.5,37189.9
8.82,24879.3,26107.2,27800.5,23944.8,30134.9,31199.2,29330.3,19772.8,29516.8,26262.3,25652.6,19163.1,42334.6,34755.5,32142.1,30566.6,37536,33062.1,33680.3,31509.5,29183.6,25644.2,23481.8,25807.8,33680.3,20692.9,22717
9.14,23087.3,23930.4,22596.9,23930.4,21338.7,23141.1,21910.5,17828.5,21882.9,25991.1,17957.7,19706.2,31548.8,33052.2,25031.9,30189.1,28270.7,23502.3,21325.6,24889.6,20407.1,26107.1,22297.9,21570.8,24046.5,23141.1,15897
9.47,15793.5,19754.1,19288.7,16464.6,21683,16963.6,18789.7,12623.7,21458.8,21699.8,19288.7,22079.2,28916.2,28434,23628.7,25437.9,23198.8,19823.3,21097.9,19271.9,18393.5,18789.7,20150.3,18101.8,21097.9,21389.6,13485.3
9.82,16633.9,22374.1,21480.2,20955.6,16318.8,14920.1,11977.4,18833,21546.3,14196.2,18165.8,16281.9,28801.1,20546.9,27220.4,21460.5,28163.2,25220.5,20603.5,23231,18012.9,19204.8,18594.3,25631.8,18404.5,19556.8,16375.5
10.2,17311.3,18635.8,14931.5,13347.1,18005.3,13448.5,16493.8,15669.8,17282.8,16110.4,16037.5,15720.5,21405.5,19944.6,22035.9,16471.6,21044.2,22143.8,19481.9,14418.1,15980.4,14627.4,15568.4,17339.9,14221.8,16161.1,15951.8
10.6,13022.9,13415,12356,18546.8,14715.4,13043.9,14397.1,15822.5,13043.9,13019.8,12994.2,11693.8,24342.5,17492.5,20983.1,21591,16806.2,18524.3,14769.8,17196.7,15798.5,14739.5,14792.3,14370,17807.7,15427.4,13760.5
10.9,15123.9,11058.4,13606.1,10180.4,10486.9,10774.7,13864.2,15078.4,12035.8,11701,10749.2,15104,19075.7,24044.7,15719.6,14509.6,14766.4,16362.2,13267.1,9276.89,12033,14484.1,12675.6,14435.8,11393.2,16006.1,8655.63
11.3,11993.5,13665.8,10014.9,7800.39,7848.99,8940.38,9268.52,12037.2,13670.8,12063.9,14322.1,45682,15924,14224.9,16536.6,19164.4,13763,15676.2,12224.5,11412.6,11896.3,8429.9,8896.73,13772.8,10848.6,9241.75,12251.2
11.8,9169.68,11714.8,9169.68,9714.68,9560.77,9423.17,7604.67,9097.86,9461.19,9053.79,11588.7,78701.2,16277.6,21165.8,12856.1,13060.2,12277.3,11698.5,13996.2,15038,12481.4,11407,10111.8,10657.5,12183.8,10690.6,9676.66
12.2,10501.7,10208.3,11056.1,9869.9,9321.52,8752.78,8428.68,7478.83,9452.04,7342.26,7478.83,47869.4,10762.7,16268.4,10891.1,10271.4,11323.2,12540.2,11266.2,10006.5,11164.2,9623.17,10473.2,9213.45,9551.86,9213.45,9716.93
12.6,8594.4,10458.2,8795.46,9885.53,8985.91,7112.82,8269.3,10247.9,9196.24,7848.64,7723.93,23917.5,13737.9,12551.6,11032.7,10047.5,11844.9,11213.9,12551.6,9741.61,13517.6,8956.76,5945.72,6615.81,11835,8814.67,9100.68
13.1,7546.1,7458.52,5876.11,9638.35,9444.07,6512.29,8113.82,7516.4,7921.05,6494.68,8152.59,19340.1,10851.3,9165.23,9338.89,9568.37,9848.72,9655.95,10052.1,5858.5,7931.63,9414.38,8779.7,7276.33,10572.5,7072.98,5367.78
13.6,6653,8196.97,7720.04,8395.02,7152.93,10362.9,8126.41,8896.55,6052.45,5900.38,5463.95,14226.4,10210.8,11882.3,7928.54,9562.68,9631.65,6935.76,9433.6,8979.65,8219.96,7430.21,8656.39,7783.53,8718.29,8596.27,5315.75
14.1,5951,5821.99,7404.98,7672.21,6397.47,8667.83,6775.46,8038.32,4960.75,6641.07,6115.67,10336.3,10339,8677.03,8754.69,8077.79,10074.3,9991.24,9376.29,8059.4,8401.74,8218.69,7117.81,5608.66,7498.35,6562.13,7054.57
14.6,5917.7,6334.01,7339.09,4704.4,6083.52,6547.17,6758.78,5487.86,4335.43,6403.33,6381.35,9124.5,9180.3,7542.24,7878.95,8449.25,7442.49,5181.58,8019.41,5934.61,8488.13,7555.76,5667.21,7087.04,5071.55,5278.09,4100.29
15.1,6162.4,7232.75,7089.82,5576.78,5953.71,5611.91,5199.85,4786.17,5513.91,4546.05,5820.59,8303.11,8058.49,8888.73,6437.64,7196.82,5959.84,5678.47,7263.38,6783.95,7986.62,6988.13,6193.02,6615.7,4754.73,7539.44,5718.9
15.7,6571.18,4498.18,6258.45,6033.99,6416.9,5457.54,4920.35,4273.73,5387.47,4207.82,7306.18,8736.83,8199.64,7372.19,6861.54,6320.18,5175.63,6394.53,6606.27,5739.46,5264,5690.44,5012.9,5453.37,5999,5558.54,5611.82
16.3,4505.05,3525.66,6341.62,4948.3,4709.57,4592.64,4917.34,4151.02,3998.24,4979.26,4592.64,7944.74,6963.72,8087.34,6016.92,5510.11,4681.86,6034.44,5783.07,4626.86,5070.12,6750.65,3766.02,4831.38,6101.25,4444.76,5692.22
16.8,4050.93,4380.27,4046.38,4681.57,4212.4,4652.02,5040.45,5372.81,3499.51,3198.21,3799.3,7438.65,6306.27,6001.93,5723.78,6915.26,6001.93,3859.91,5699.12,6172.83,7244.6,5560.8,4818.37,4077.45,4512.18,3634.8,3799.3
17.5,2746.6,4025.31,3628.39,4523.14,3316.14,3683.52,3613.78,5009.98,5715.53,4453.4,2832.91,6904.31,5976.43,6948.14,6077.35,5362.76,4214.5,4864.92,4907.1,4468.01,4451.44,4523.14,5245.27,3939,5445.45,4350.52,4317.38
18.1,3803.06,4540.65,3748.18,3514.74,3438.56,3758.15,4925.08,3524.7,3846.6,3067.78,2979.33,6403.95,6133.25,5113.61,4931.36,5790.05,4697.91,4883.85,5274.56,4237.3,5113.61,4668.03,4179.83,3730.56,3109.01,4317.17,3322.53
18.8,3870.65,3547.19,4006.59,4050.68,3177.8,3367.16,2895.04,4245.26,2920.46,3649.91,2498.38,6508.35,6203.55,5406.13,5260.85,4425.29,6004.86,4919.46,5260.85,3801.95,4460.05,4636.7,3943.84,3997.26,3311.9,3739.93,2880.48
19.5,3071.24,3197,4041.15,3629.86,3229.28,2489.39,3724.16,3185.39,2838.66,2448.87,3650.54,5222.97,6004.2,5087.24,4780.22,5042.53,2193.07,4104.89,2734.39,4494.69,2975.21,4716.47,5043.35,3008.31,3830.98,3968.34,3071.24
20.2,3771.86,3059.72,2981.69,2613.23,3264.75,3407.09,3375.55,3564.38,3613.34,4137.87,2931.51,5596.14,4342.89,5345.46,4881.55,3407.09,3720.45,3456.04,2762.54,4438.73,3724.14,3456.04,3185.48,3314.93,2743.9,3186.71,3612.11
20.9,2492.68,3457.91,2404.86,2602.46,2374.08,2928.87,3108.08,2586.9,2337.85,2289.71,3262.54,5116.53,4380.41,4110.1,4039.84,2813.46,3661.37,4490.72,2781.35,3712.23,3602.12,3149.96,2253.58,3125.72,4304.33,3149.12,2934.22
21.7,2893.73,3592.3,2821.88,3045.59,2423.27,2342.31,2875.64,2648.54,2461.05,2158.9,2572.12,4405.31,4106.33,3111.12,3464.6,2997.79,3728.97,2886.29,3108.79,2778.94,3223.75,3599.26,3046.47,3904.84,2230.99,2963.32,1912.41
22.5,3546.82,2470.01,2642.65,2775.54,2358.79,2071.18,3205.25,2316.16,1732.15,2734.57,2046.31,4974.54,3214.59,3487.47,2906.2,3992.7,2927.57,2915.41,2907.37,3354.2,2905.35,3043.5,2878.66,3486.93,2703.85,1787.47,2735
23.3,2614.09,1725.66,2676.98,2980.83,2070.9,2412.64,1978.31,2679.8,3061.51,2347.32,1793.16,4181.78,3422.37,3263.35,4023.28,3370.14,2403.99,2853.34,1834.35,2926.56,2845.07,2673.56,3003.98,2071.6,2053.39,2058.86,2470.26
24.1,2727.22,2988.57,2432.7,1888.21,1655.71,1965.23,2479.13,2334.92,3116.76,2102.43,3370.92,3563.44,2998.38,2576.66,3307.99,2998.65,3337.73,2618.81,2999.74,2015.9,2318.59,2280.28,1989.72,2090.53,2948.97,1515.1,2133.2
25,2676.95,2599.45,2232.18,2302.4,1856.52,2378.97,2225.56,1942.33,1738.66,1659.58,2082.51,3503.54,2492.37,3139.63,3091.52,2007.39,2062.73,2269.84,2068.02,2557.47,2166.6,2201.46,2596.41,2341.03,1674.14,2159.52,2566.73
25.9,2337.52,2358.56,2235.9,2144.79,2218.32,2199.92,1772.38,2328.69,2102.04,2259.44,1883.72,4075.01,3313.51,2725.19,3330.74,2299.32,2613.87,2334.81,2297.27,3617.33,2328.42,1977.82,2154.02,2318.4,2515.31,2299.55,2046.45
26.9,1897.22,1921.02,2105.79,1780.15,1337.57,1844.52,1849.07,1455.95,1751.57,2130.77,2026.25,2887.77,2768.65,3273.61,2563.3,2685.65,2044.82,1841.47,2098.93,2416.4,2360.08,1753.09,1858.31,2269.61,1988.77,1837.21,1954.09
27.9,2173.82,1363.52,2070.8,1452.67,1533.93,1607.45,1766.45,1943.04,1394.3,1789.83,1723.43,3397.21,2739.43,2885.45,3007.6,2388.77,2193.19,2387.58,2193.5,2185.87,2252.16,2457.06,2090.19,1583.34,1907.72,1736.2,1742.52
28.9,1238.8,1774.62,2141.7,1774.48,1096.47,1585.01,1548.27,1329.55,1416.13,1729.35,1578.79,3207.85,1929.96,2843.55,1579.98,3038.11,2093.89,2231.77,2186.29,2304.93,1875.59,2368.55,1930.24,1800.39,1795.34,1532.7,1479.28
30,1471.11,1648.04,1621.89,1281.52,1734.08,1528.41,1811.08,1778.43,1229.09,1711.94,1994.28,2670.29,2248.04,3131.88,2129.24,2143.68,2748.57,1756.29,2007.02,1711.11,2013.08,1714.71,2054.05,1158.02,1336.18,1866.02,1979.25
31.1,1973.24,1194.21,1625.46,2309.43,1656.44,1342.88,1171.57,1754.68,1776.43,1632.12,1597.17,2595.89,2289.39,1979.55,2414.86,1809.96,1968.6,2005.44,1664.28,1860.34,2338.09,1292.24,1194.79,1212.4,1520.29,1551.18,1335.96
32.2,1179.36,1414.62,1432.01,1764.81,1619.95,1215.4,1345.8,1271.38,1191.06,1335.78,1652.9,1957.75,2185.04,2240.76,2129.52,1484.83,2146.79,1865.18,1939.35,1731.79,1455.72,1100.51,1193.41,1112.99,1704.39,1391.11,1888.21
33.4,1358.84,1126.34,1338.83,1311.99,1723.63,1723.48,1240.14,1195.64,1508.18,1124.02,1652.77,2170.3,2099.41,1954.71,1536.7,2038.36,1697.28,1411.69,1922.66,1648.21,1900.96,1516.81,1692.47,1312.3,1818.23,1160.68,1128.35
34.6,1454.3,1009.98,1221.94,1953.08,1556.48,1691.25,1240.3,1483.09,1418.7,1406.04,1031.9,2076.42,1783.43,1537.68,1822.96,1672.47,1581.24,1556.79,1627.23,1547.33,1400.49,1721.63,1198.7,1131.11,1374.38,1508.46,1332.89
35.9,1468.41,1366.13,1443.7,1210.61,1252.56,1328.76,1352.95,983.937,1203.26,1194.15,1106.4,1725.25,2176.22,1684.45,1704,1939.54,1942.67,1194.87,1722.64,1844.84,1879.6,1392.2,1518.28,1515.72,1583.4,1192.06,1028.65
37.2,1310.9,1335.21,1198.54,1421.6,1495.72,954.944,1561.57,1278.89,1066.29,1118.93,1366.88,1430.78,1919.87,1385.69,1270.7,1572.99,1680.19,2235.44,1268.15,1166.2,1264.43,999.295,1101.66,1687.79,1394.14,1573.83,1178.65
38.5,1253.82,1474.51,1402.59,1566.96,953.608,1004.8,1377.75,1250.88,1242.2,1154.65,902.63,1713.58,1836.12,1610.51,1560.4,1482.47,1039.94,1568.97,1260.16,1638.29,1657.22,1012.8,965.9,1263.51,1306.1,1321.66,1187.75
40,1110.86,1179.96,1261.55,1048.31,936.773,894.893,1233.45,803.216,889.905,1269.37,835.074,1729.53,2099.65,1223.69,1397.67,1566.11,1629.26,1478.82,1637.89,1335.87,1198.71,1192.13,1531.21,1651.84,1610.12,1083.83,882.243
41.4,1203.26,1484.95,1093.21,966.89,1517.71,959.482,969.486,834.205,1077.7,985.663,935.551,1284.47,1570.23,1544.37,1472.41,1536.29,1509.73,1528.24,1332.53,1288.36,796.742,966.606,1352.89,1337.61,1374.7,1066.61,981.599
